,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
RGI60-08.00837,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0,1593000.0
RGI60-08.00838,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2013000.0,2007616.0
RGI60-08.00839,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,122000.0,121899.22
RGI60-08.00840,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,144000.0,143549.81
RGI60-08.00841,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,295000.0,293666.1
RGI60-08.00842,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,913000.0,911416.8
RGI60-08.00843,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,506000.0,507024.44
RGI60-08.00844,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,354000.0,352689.25
RGI60-08.00845,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,658000.0,653336.1
RGI60-08.00846,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0,433000.0
